semana,municipio_norm,uf,num_alertas,area_ha_total,score_riesgo_promedio,num_incendios,frp_total,frp_promedio,precipitacion_promedio,dias_sin_lluvia_promedio,riesgo_fuego_promedio
2022-01-10,ARIQUEMES,RO,1,23.31,5.0,0.0,0.0,0.0,,,
2022-01-10,BARRA DO BUGRES,MT,1,15.32,4.0,1.0,33.2,33.2,0.6,2.0,0.7
2022-01-10,BOCA DO ACRE,AM,2,26.75,3.5,0.0,0.0,0.0,,,
2022-01-10,BONFIM,RR,1,0.2,3.0,16.0,398.9,24.93125,0.09375,10.875,0.9375
2022-01-10,BREJO GRANDE DO ARAGUAIA,PA,1,36.120000000000005,5.0,0.0,0.0,0.0,,,
2022-01-10,BURITIS,RO,1,134.28,6.0,0.0,0.0,0.0,,,
2022-01-10,CANDEIAS DO JAMARI,RO,5,65.24,3.4,1.0,22.0,22.0,4.0,0.0,0.0
2022-01-10,CANTA,RR,4,50.07,3.75,4.0,299.8,74.95,1.2,7.75,0.525
2022-01-10,CANUTAMA,AM,3,55.74999999999999,3.6666666666666665,0.0,0.0,0.0,,,
2022-01-10,CARACARAI,RR,3,122.7,4.666666666666667,9.0,138.9,15.433333333333334,0.9777777777777779,6.0,0.6000000000000001
2022-01-10,CAROEBE,RR,20,320.15,3.5,18.0,726.7,40.37222222222223,0.16111111111111112,3.5555555555555554,0.14444444444444446
2022-01-10,CLAUDIA,MT,1,72.78999999999999,5.0,1.0,7.1,7.1,0.0,0.0,0.0
2022-01-10,COLNIZA,MT,9,522.26,4.666666666666667,1.0,13.2,13.2,13.9,0.0,0.0
2022-01-10,CRUZEIRO DO SUL,AC,1,12.69,4.0,0.0,0.0,0.0,,,
2022-01-10,ESPIGAO D'OESTE,RO,1,23.96,5.0,2.0,24.799999999999997,12.399999999999999,6.25,0.0,0.0
2022-01-10,FELIZ NATAL,MT,2,19.06,3.5,2.0,28.2,14.1,4.3,3.0,0.0
2022-01-10,GAUCHA DO NORTE,MT,1,25.53,5.0,0.0,0.0,0.0,,,
2022-01-10,GOIANESIA DO PARA,PA,4,39.41,3.5,0.0,0.0,0.0,,,
2022-01-10,GOVERNADOR JORGE TEIXEIRA,RO,1,57.21000000000001,6.0,0.0,0.0,0.0,,,
2022-01-10,GUAJARA,AM,1,8.68,3.0,0.0,0.0,0.0,,,
2022-01-10,GUARANTA DO NORTE,MT,2,67.35,4.0,0.0,0.0,0.0,,,
2022-01-10,HUMAITA,AM,3,215.09,4.666666666666667,0.0,0.0,0.0,,,
2022-01-10,IPIRANGA DO NORTE,MT,2,281.86,4.5,0.0,0.0,0.0,,,
2022-01-10,IPIXUNA DO PARA,PA,2,38.14,4.5,0.0,0.0,0.0,,,
2022-01-10,IRACEMA,RR,3,63.36,4.0,1.0,21.1,21.1,2.0,4.0,0.2
2022-01-10,ITAPUA DO OESTE,RO,1,360.78,7.0,0.0,0.0,0.0,,,
2022-01-10,ITINGA DO MARANHAO,MA,2,32.78,4.0,0.0,0.0,0.0,,,
2022-01-10,ITUPIRANGA,PA,1,10.59,4.0,0.0,0.0,0.0,,,
2022-01-10,JARU,RO,2,37.61,4.5,0.0,0.0,0.0,,,
2022-01-10,JUARA,MT,2,213.83999999999997,5.0,1.0,47.9,47.9,9.7,1.0,0.0
2022-01-10,MARCELANDIA,MT,2,303.03999999999996,5.0,1.0,13.9,13.9,0.3,0.0,0.0
2022-01-10,MATUPA,MT,1,57.26,6.0,0.0,0.0,0.0,,,
2022-01-10,MONTE NEGRO,RO,1,9.95,3.0,0.0,0.0,0.0,,,
2022-01-10,NOVA BANDEIRANTES,MT,1,10.9,3.0,0.0,0.0,0.0,,,
2022-01-10,NOVA BRASILANDIA D'OESTE,RO,1,16.57,4.0,0.0,0.0,0.0,,,
2022-01-10,NOVA CANAA DO NORTE,MT,1,50.5,6.0,0.0,0.0,0.0,,,
2022-01-10,NOVA MARINGA,MT,3,744.79,5.333333333333333,6.0,67.19999999999999,11.199999999999998,4.583333333333333,0.3333333333333333,0.016666666666666666
2022-01-10,NOVA MONTE VERDE,MT,2,76.28999999999999,5.0,0.0,0.0,0.0,,,
2022-01-10,NOVA MUTUM,MT,1,12.77,4.0,2.0,18.3,9.15,0.25,1.0,0.0
2022-01-10,NOVA SANTA HELENA,MT,4,88.05000000000001,4.0,1.0,11.6,11.6,0.0,0.0,0.0
2022-01-10,NOVA UBIRATA,MT,1,38.53,5.0,1.0,22.1,22.1,7.4,0.0,0.0
2022-01-10,NOVO MUNDO,MT,1,21.45,4.0,0.0,0.0,0.0,,,
2022-01-10,NOVO PROGRESSO,PA,2,52.78,4.0,1.0,9.3,9.3,4.6,0.0,0.0
2022-01-10,PACAJA,PA,1,12.49,4.0,0.0,0.0,0.0,,,
2022-01-10,PARAGOMINAS,PA,1,683.89,4.0,2.0,54.2,27.1,5.2,0.0,0.0
2022-01-10,PARANAITA,MT,1,24.81,5.0,1.0,10.0,10.0,0.0,2.0,0.0
2022-01-10,PARANATINGA,MT,1,382.14,6.0,0.0,0.0,0.0,,,
2022-01-10,PEIXOTO DE AZEVEDO,MT,3,40.160000000000004,3.6666666666666665,0.0,0.0,0.0,,,
2022-01-10,PIMENTA BUENO,RO,4,82.87,4.25,0.0,0.0,0.0,,,
2022-01-10,PORTEL,PA,2,214.31,4.0,0.0,0.0,0.0,,,
2022-01-10,PORTO DE MOZ,PA,1,45.97,5.0,0.0,0.0,0.0,,,
2022-01-10,PORTO DOS GAUCHOS,MT,2,346.06,6.0,5.0,91.7,18.34,3.5,0.6,0.02
2022-01-10,PORTO VELHO,RO,3,71.55000000000001,4.0,0.0,0.0,0.0,,,
2022-01-10,RORAINOPOLIS,RR,23,397.25,3.6956521739130435,24.0,1247.1,51.9625,0.46249999999999997,2.125,0.2625
2022-01-10,SANTA CARMEM,MT,2,192.20000000000002,6.0,2.0,54.1,27.05,7.25,1.0,0.0
2022-01-10,SAO JOAO DA BALIZA,RR,10,138.34,3.8,17.0,602.1,35.41764705882353,0.052941176470588235,3.823529411764706,0.14705882352941177
2022-01-10,SAO JOAO DE PIRABAS,PA,1,15.47,4.0,1.0,5.1,5.1,0.7,1.0,0.0
2022-01-10,SAO LUIZ,RR,2,30.75,4.0,7.0,272.2,38.885714285714286,0.5714285714285714,2.142857142857143,0.2571428571428572
2022-01-10,TAILANDIA,PA,2,38.129999999999995,4.5,0.0,0.0,0.0,,,
2022-01-10,TOME-ACU,PA,1,56.37,5.0,0.0,0.0,0.0,,,
2022-01-10,UNIAO DO SUL,MT,1,103.56,6.0,0.0,0.0,0.0,,,
2022-01-17,ALTA FLORESTA D'OESTE,RO,3,51.730000000000004,4.0,0.0,0.0,0.0,,,
2022-01-17,ALTAMIRA,PA,7,218.05,4.857142857142857,0.0,0.0,0.0,,,
2022-01-17,ALTO ALEGRE DOS PARECIS,RO,1,23.86,5.0,0.0,0.0,0.0,,,
2022-01-17,ALTO PARAISO,RO,2,48.86,4.5,1.0,20.3,20.3,0.0,0.0,0.1
2022-01-17,ANAPU,PA,1,11.96,4.0,0.0,0.0,0.0,,,
2022-01-17,APIACAS,MT,1,44.35,5.0,0.0,0.0,0.0,,,
2022-01-17,APUI,AM,3,50.79,4.333333333333333,3.0,34.3,11.433333333333332,1.2,0.0,0.0
2022-01-17,ARIQUEMES,RO,1,9.47,3.0,1.0,36.1,36.1,0.1,2.0,0.5
2022-01-17,BAIAO,PA,1,11.3,4.0,1.0,17.7,17.7,0.5,2.0,0.0
2022-01-17,BARRA DO BUGRES,MT,1,25.05,5.0,1.0,38.5,38.5,1.4,1.0,0.3
2022-01-17,BOCA DO ACRE,AM,1,8.959999999999999,3.0,2.0,43.2,21.6,3.8,0.0,0.0
2022-01-17,BRASILEIA,AC,1,14.79,4.0,0.0,0.0,0.0,,,
2022-01-17,BRASNORTE,MT,1,22.41,5.0,8.0,126.3,15.7875,0.0625,0.0,0.0
2022-01-17,BURITIS,RO,1,11.66,4.0,0.0,0.0,0.0,,,
2022-01-17,CAMPO NOVO DE RONDONIA,RO,2,15.55,3.0,0.0,0.0,0.0,,,
2022-01-17,CANDEIAS DO JAMARI,RO,4,438.54,4.25,0.0,0.0,0.0,,,
2022-01-17,CANUTAMA,AM,10,362.86,4.4,0.0,0.0,0.0,,,
2022-01-17,CLAUDIA,MT,3,86.52,4.333333333333333,5.0,156.9,31.380000000000003,0.1,0.4,0.02
2022-01-17,COLNIZA,MT,1,7.979999999999999,3.0,5.0,118.19999999999999,23.639999999999997,9.4,2.0,0.04
2022-01-17,CONFRESA,MT,1,100.64,6.0,2.0,30.0,15.0,0.9,1.5,0.05
2022-01-17,COSTA MARQUES,RO,4,75.13000000000001,3.75,4.0,80.39999999999999,20.099999999999998,2.35,1.25,0.275
2022-01-17,COTRIGUACU,MT,1,7.03,3.0,0.0,0.0,0.0,,,
2022-01-17,CUJUBIM,RO,1,31.7,5.0,1.0,34.7,34.7,12.7,0.0,0.0
2022-01-17,CURUA,PA,1,9.38,3.0,1.0,7.6,7.6,0.1,0.0,0.0
2022-01-17,FELIZ NATAL,MT,1,252.25,4.0,16.0,748.5,46.78125,2.7375,0.4375,0.05625
2022-01-17,GAUCHA DO NORTE,MT,1,102.59,4.0,8.0,281.8,35.225,5.95,1.125,0.0
2022-01-17,IPIRANGA DO NORTE,MT,1,43.81,5.0,0.0,0.0,0.0,,,
2022-01-17,ITAITUBA,PA,10,214.32000000000002,5.5,0.0,0.0,0.0,,,
2022-01-17,ITAPUA DO OESTE,RO,2,57.1,4.5,0.0,0.0,0.0,,,
2022-01-17,ITUPIRANGA,PA,2,25.47,3.5,1.0,5.8,5.8,0.4,2.0,0.2
2022-01-17,JACAREACANGA,PA,3,24.82,4.333333333333333,0.0,0.0,0.0,,,
2022-01-17,JUARA,MT,5,278.74,4.4,1.0,13.0,13.0,0.1,0.0,0.0
2022-01-17,LABREA,AM,8,302.16,4.375,13.0,169.2,13.015384615384615,4.453846153846154,0.5384615384615384,0.03076923076923077
2022-01-17,MACHADINHO D'OESTE,RO,1,8.110000000000001,3.0,2.0,12.6,6.3,3.75,0.0,0.1
2022-01-17,MANCIO LIMA,AC,3,39.04,4.0,0.0,0.0,0.0,,,
2022-01-17,MARCELANDIA,MT,5,184.51,4.4,17.0,490.2,28.83529411764706,5.029411764705882,0.0,0.0
2022-01-17,MEDICILANDIA,PA,3,40.84,4.0,3.0,31.0,10.333333333333334,0.16666666666666666,2.0,0.06666666666666667
2022-01-17,MOJU,PA,3,102.38,4.666666666666667,9.0,146.7,16.299999999999997,2.8333333333333335,1.1111111111111112,0.0
2022-01-17,MONTE ALEGRE,PA,1,7.290000000000001,3.0,6.0,142.2,23.7,0.21666666666666667,0.3333333333333333,0.03333333333333333
2022-01-17,NOVA BANDEIRANTES,MT,4,48.37,3.5,0.0,0.0,0.0,,,
2022-01-17,NOVA MAMORE,RO,6,87.0,3.6666666666666665,2.0,22.3,11.15,7.3999999999999995,0.0,0.0
2022-01-17,NOVA UBIRATA,MT,2,16.11,2.5,11.0,475.1,43.190909090909095,0.5454545454545454,0.8181818181818182,0.07272727272727274
2022-01-17,NOVA UNIAO,RO,1,19.65,5.0,0.0,0.0,0.0,,,
2022-01-17,NOVO HORIZONTE DO OESTE,RO,1,11.27,4.0,0.0,0.0,0.0,,,
2022-01-17,NOVO REPARTIMENTO,PA,3,35.57,3.6666666666666665,7.0,122.9,17.557142857142857,0.042857142857142864,2.7142857142857144,0.07142857142857142
2022-01-17,PACAJA,PA,1,10.27,3.0,12.0,136.2,11.35,0.48333333333333334,2.9166666666666665,0.008333333333333333
2022-01-17,PARANATINGA,MT,1,118.97,4.0,9.0,237.4,26.37777777777778,3.466666666666667,0.5555555555555556,0.03333333333333334
2022-01-17,PEIXOTO DE AZEVEDO,MT,2,24.169999999999998,2.5,6.0,156.3,26.05,2.533333333333333,0.5,0.0
2022-01-17,PIMENTA BUENO,RO,4,36.96,3.0,9.0,437.6,48.62222222222223,16.200000000000003,1.6666666666666667,0.0
2022-01-17,PLACAS,PA,2,20.36,3.5,1.0,7.6,7.6,0.3,2.0,0.0
2022-01-17,PONTES E LACERDA,MT,2,37.2,4.0,1.0,47.4,47.4,1.6,3.0,0.4
2022-01-17,PORTEL,PA,1,16.939999999999998,4.0,1.0,6.3,6.3,2.5,0.0,0.0
2022-01-17,PORTO DOS GAUCHOS,MT,2,60.11,5.0,10.0,292.9,29.29,9.83,0.0,0.04
2022-01-17,PORTO GRANDE,AP,1,8.36,3.0,0.0,0.0,0.0,,,
2022-01-17,PORTO VELHO,RO,14,938.5,4.714285714285714,6.0,67.8,11.299999999999999,2.3000000000000003,1.0,0.06666666666666667
2022-01-17,PRAINHA,PA,2,20.24,4.5,4.0,99.10000000000001,24.775000000000002,0.125,1.5,0.05
2022-01-17,QUERENCIA,MT,2,130.48000000000002,5.5,3.0,62.8,20.933333333333334,1.1666666666666667,1.0,0.0
2022-01-17,RIBEIRAO CASCALHEIRA,MT,1,69.64,6.0,1.0,35.8,35.8,0.0,2.0,0.0
2022-01-17,RUROPOLIS,PA,2,87.97,5.0,0.0,0.0,0.0,,,
2022-01-17,SANTA CARMEM,MT,2,199.45999999999998,5.0,6.0,167.0,27.833333333333332,3.9499999999999997,0.6666666666666666,0.05000000000000001
2022-01-17,SANTAREM,PA,1,80.27,5.0,8.0,110.6,13.825,0.1,1.875,0.037500000000000006
2022-01-17,SAO FELIX DO XINGU,PA,13,326.03,4.461538461538462,3.0,26.299999999999997,8.766666666666666,3.033333333333333,2.3333333333333335,0.0
2022-01-17,SAO FRANCISCO DO GUAPORE,RO,5,87.39999999999999,4.0,0.0,0.0,0.0,,,
2022-01-17,SENA MADUREIRA,AC,1,9.13,3.0,0.0,0.0,0.0,,,
2022-01-17,SENADOR JOSE PORFIRIO,PA,2,18.42,3.5,1.0,12.1,12.1,4.0,2.0,0.0
2022-01-17,TABAPORA,MT,1,32.01,5.0,2.0,59.4,29.7,0.7,1.0,0.0
2022-01-17,TRAIRAO,PA,1,76.72,6.0,0.0,0.0,0.0,,,
2022-01-17,UNIAO DO SUL,MT,3,81.15,4.333333333333333,11.0,254.2,23.10909090909091,3.963636363636363,0.45454545454545453,0.018181818181818184
2022-01-17,URUARA,PA,5,126.28,4.2,3.0,83.6,27.866666666666664,0.09999999999999999,2.0,0.06666666666666667
2022-01-17,XAPURI,AC,1,6.41,5.0,1.0,9.4,9.4,17.2,0.0,0.0
2022-01-24,ALTA FLORESTA D'OESTE,RO,1,6.660000000000001,3.0,0.0,0.0,0.0,,,
2022-01-24,APUI,AM,1,13.36,4.0,0.0,0.0,0.0,,,
