DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2023/01/01 16:32:00,AQUA_M-T,Brasil,MARANHÃO,GUIMARÃES,Amazônia,-999,0.1,0.05,20.6,-2.19676,-44.66024
2023/01/01 16:32:00,AQUA_M-T,Brasil,MARANHÃO,SERRANO DO MARANHÃO,Amazônia,-999,0.0,0.06,15.7,-2.16805,-44.96933
2023/01/01 16:32:00,AQUA_M-T,Brasil,MARANHÃO,MIRINZAL,Amazônia,-999,0.0,0.06,9.6,-2.16335,-44.93625
2023/01/01 16:32:00,AQUA_M-T,Brasil,MARANHÃO,TURIAÇU,Amazônia,7,0.0,0.02,8.1,-1.64971,-45.55178
2023/01/01 16:32:00,AQUA_M-T,Brasil,MARANHÃO,CÂNDIDO MENDES,Amazônia,3,0.24,0.0,11.1,-1.72324,-45.79392
2023/01/01 16:32:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,0,23.77,0.0,35.5,-2.59863,-49.2266
2023/01/01 16:32:00,AQUA_M-T,Brasil,PARÁ,CAPITÃO POÇO,Amazônia,5,5.9,0.0,15.8,-2.35934,-47.2787
2023/01/01 16:32:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,2,19.57,0.0,25.1,-2.73227,-49.32046
2023/01/01 16:32:00,AQUA_M-T,Brasil,PARÁ,ULIANÓPOLIS,Amazônia,3,0.4,0.04,12.0,-3.87285,-47.12997
2023/01/01 16:32:00,AQUA_M-T,Brasil,PARÁ,SANTANA DO ARAGUAIA,Amazônia,0,14.67,0.0,42.7,-9.30399,-50.14297
2023/01/01 16:34:00,AQUA_M-T,Brasil,PARÁ,CASTANHAL,Amazônia,1,6.45,0.0,40.6,-1.12588,-47.96666
2023/01/01 18:08:00,AQUA_M-T,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,0,2.32,0.01,6.0,-12.43253,-63.96132
2023/01/01 18:08:00,AQUA_M-T,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,3,2.44,0.0,21.1,-12.37162,-63.86433
2023/01/01 18:08:00,AQUA_M-T,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,0,2.53,0.01,24.4,-12.44151,-63.95994
2023/01/01 18:10:00,AQUA_M-T,Brasil,AMAZONAS,APUÍ,Amazônia,0,25.9,0.0,16.5,-6.68333,-59.13192
2023/01/01 18:10:00,AQUA_M-T,Brasil,AMAZONAS,APUÍ,Amazônia,0,24.55,0.0,21.6,-6.68671,-59.1526
2023/01/01 18:10:00,AQUA_M-T,Brasil,AMAZONAS,APUÍ,Amazônia,0,25.3,0.0,29.3,-6.68561,-59.13892
2023/01/01 18:10:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,3,32.99,0.0,10.4,-7.44146,-61.4239
2023/01/01 18:10:00,AQUA_M-T,Brasil,AMAZONAS,APUÍ,Amazônia,0,26.47,0.01,19.0,-6.76748,-59.40615
2023/01/02 17:13:00,AQUA_M-T,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,0,16.45,0.0,14.8,-9.86201,-53.8826
2023/01/02 17:15:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,3,4.2,0.01,5.6,-1.76064,-53.4158
2023/01/02 17:15:00,AQUA_M-T,Brasil,MARANHÃO,SANTA HELENA,Amazônia,1,0.0,0.23,24.4,-2.2285,-45.23177
2023/01/02 17:15:00,AQUA_M-T,Brasil,AMAZONAS,ITACOATIARA,Amazônia,0,0.8,0.0,19.1,-3.29169,-58.6592
2023/01/02 17:15:00,AQUA_M-T,Brasil,PARÁ,MOJUÍ DOS CAMPOS,Amazônia,0,1.4,0.02,8.3,-2.87739,-54.53949
2023/01/02 17:17:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazônia,11,0.12,0.69,20.3,3.94676,-59.75916
2023/01/03 16:20:00,AQUA_M-T,Brasil,PARÁ,CACHOEIRA DO PIRIÁ,Amazônia,0,2.28,0.07,34.1,-2.15323,-46.41565
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,MIRINZAL,Amazônia,-999,0.0,0.23,19.7,-1.98566,-44.83628
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,ALCÂNTARA,Amazônia,-999,0.0,0.22,34.4,-2.18097,-44.45945
2023/01/03 16:20:00,AQUA_M-T,Brasil,PARÁ,CACHOEIRA DO PIRIÁ,Amazônia,0,2.37,0.05,19.9,-2.15025,-46.42293
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,ALCÂNTARA,Amazônia,-999,0.0,0.22,19.5,-2.19322,-44.45778
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,MIRINZAL,Amazônia,-999,0.0,0.18,20.3,-2.21997,-44.92067
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,MIRINZAL,Amazônia,-999,0.0,0.18,18.1,-2.22056,-44.92567
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,PINHEIRO,Amazônia,-999,0.1,0.4,16.6,-2.4213,-44.9591
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,PINHEIRO,Amazônia,-999,0.1,0.41,24.0,-2.42245,-44.96395
2023/01/03 16:20:00,AQUA_M-T,Brasil,MARANHÃO,PINHEIRO,Amazônia,-999,0.1,0.42,16.9,-2.424,-44.97853
2023/01/03 16:20:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,1,3.98,0.1,90.6,-3.21519,-48.74794
2023/01/03 16:20:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,1,3.72,0.06,69.0,-3.22058,-48.78782
2023/01/03 18:00:00,AQUA_M-T,Brasil,AMAZONAS,FONTE BOA,Amazônia,1,2.23,-999.0,7.2,-2.51782,-66.09596
2023/01/03 18:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazônia,24,0.2,0.85,30.9,3.09046,-60.7896
2023/01/03 18:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazônia,24,0.2,0.87,33.5,3.07998,-60.78811
2023/01/03 18:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazônia,1,0.48,0.55,39.7,3.34273,-60.45629
2023/01/03 18:00:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazônia,1,0.58,0.33,16.8,3.90683,-60.51845
2023/01/03 18:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazônia,23,0.2,0.86,14.7,3.09221,-60.77706
2023/01/03 18:00:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazônia,17,1.23,0.08,14.8,3.96121,-60.85199
2023/01/04 16:58:00,AQUA_M-T,Brasil,MATO GROSSO,CANARANA,Amazônia,0,17.87,0.0,14.4,-13.36427,-52.43237
2023/01/04 16:58:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,1,10.37,0.0,30.0,-12.24322,-52.67448
2023/01/04 16:58:00,AQUA_M-T,Brasil,MATO GROSSO,BOM JESUS DO ARAGUAIA,Amazônia,0,9.56,0.0,16.2,-12.42504,-51.76658
2023/01/04 16:58:00,AQUA_M-T,Brasil,MATO GROSSO,RIBEIRÃO CASCALHEIRA,Amazônia,0,22.34,0.0,15.1,-12.9264,-52.11133
2023/01/04 16:58:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,0,12.34,0.0,16.2,-11.66967,-52.80793
2023/01/04 16:58:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,0,12.09,0.0,15.1,-11.66325,-52.80375
2023/01/04 16:58:00,AQUA_M-T,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,0,13.42,0.0,16.2,-11.73888,-52.82786
2023/01/04 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO JOSÉ DO XINGU,Amazônia,0,0.63,0.0,16.8,-10.76021,-52.93719
2023/01/04 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA CANAÃ DO NORTE,Amazônia,0,5.19,0.01,41.8,-10.6871,-56.32212
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,2,3.54,0.02,14.8,-4.82003,-48.48405
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,1,0.0,0.23,18.9,-3.19042,-48.61287
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,LIMOEIRO DO AJURU,Amazônia,-999,1.17,0.0,8.2,-1.90794,-49.42886
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,ABEL FIGUEIREDO,Amazônia,2,5.39,0.06,13.4,-4.85525,-48.53702
2023/01/04 17:02:00,AQUA_M-T,Brasil,MARANHÃO,CIDELÂNDIA,Amazônia,2,1.9,0.06,9.6,-5.13286,-47.72387
2023/01/04 17:02:00,AQUA_M-T,Brasil,MARANHÃO,SENADOR LA ROCQUE,Amazônia,2,3.06,0.09,9.6,-5.3967,-47.20247
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,ACARÁ,Amazônia,0,1.28,0.0,6.0,-1.94288,-48.39371
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia,0,0.3,0.01,17.2,-2.0849,-47.97196
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,ULIANÓPOLIS,Amazônia,2,0.1,0.62,87.6,-3.75801,-47.57104
2023/01/04 17:02:00,AQUA_M-T,Brasil,MARANHÃO,BEQUIMÃO,Amazônia,-999,0.0,0.47,90.9,-2.43164,-44.93374
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,ULIANÓPOLIS,Amazônia,0,4.78,0.02,13.7,-3.72591,-47.11641
2023/01/04 17:02:00,AQUA_M-T,Brasil,MARANHÃO,BEQUIMÃO,Amazônia,-999,0.0,0.48,47.5,-2.4337,-44.94763
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,TOMÉ-AÇU,Amazônia,0,0.0,0.01,8.6,-2.47535,-48.06531
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,0,1.28,0.01,42.3,-3.07221,-49.07086
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,0,2.21,0.0,6.6,-3.33234,-50.10905
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,2,2.66,0.14,5.2,-3.3231,-49.02551
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,1,0.0,0.08,23.6,-3.1636,-48.68088
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,1,0.0,0.27,17.2,-3.1649,-48.68983
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,ULIANÓPOLIS,Amazônia,2,0.0,0.06,16.2,-3.58501,-47.64759
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,ULIANÓPOLIS,Amazônia,2,0.0,0.07,14.4,-3.57445,-47.63944
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,BELTERRA,Amazônia,1,3.0,0.02,19.8,-3.35503,-54.91307
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,PACAJÁ,Amazônia,0,2.12,0.0,5.7,-3.33364,-50.11818
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,0,1.21,0.02,39.8,-3.06328,-49.07215
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,0,1.1,0.02,55.8,-3.06199,-49.06326
2023/01/04 17:02:00,AQUA_M-T,Brasil,MARANHÃO,OLINDA NOVA DO MARANHÃO,Amazônia,-999,1.6,0.07,8.6,-3.02415,-44.97064
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,0,0.11,0.01,26.5,-2.50678,-49.04439
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,TOMÉ-AÇU,Amazônia,0,0.0,0.17,7.6,-2.5982,-48.08906
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,MOCAJUBA,Amazônia,0,0.63,0.0,10.2,-2.55677,-49.39122
2023/01/04 17:02:00,AQUA_M-T,Brasil,MARANHÃO,ITINGA DO MARANHÃO,Amazônia,0,6.18,0.06,10.6,-4.08062,-47.12552
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,2,0.08,0.01,12.6,-4.16251,-48.71468
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,SÃO MIGUEL DO GUAMÁ,Amazônia,1,2.82,0.04,8.6,-1.56416,-47.67735
2023/01/04 17:02:00,AQUA_M-T,Brasil,MARANHÃO,PEDRO DO ROSÁRIO,Amazônia,0,0.2,0.23,19.4,-3.01096,-45.48235
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia,1,0.0,0.38,8.3,-2.88385,-48.08511
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,0,0.0,0.01,6.3,-2.81678,-48.95662
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia,0,0.5,0.1,16.3,-2.38795,-47.65039
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,AURORA DO PARÁ,Amazônia,0,0.1,0.09,11.9,-2.30524,-47.77586
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,2,3.71,0.04,7.5,-4.82898,-48.48272
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,IRITUIA,Amazônia,0,2.42,0.17,6.8,-1.83739,-47.5293
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,3,1.56,0.24,9.6,-4.68216,-48.17136
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,DOM ELISEU,Amazônia,3,1.04,0.0,11.8,-4.5095,-47.80222
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,ALENQUER,Amazônia,0,11.58,0.0,12.0,-1.80923,-54.92269
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia,0,0.2,0.03,16.5,-2.13904,-47.89972
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia,0,0.29,0.04,7.6,-2.08626,-47.98138
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,AURORA DO PARÁ,Amazônia,0,0.37,0.03,8.9,-2.23758,-47.7533
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia,0,0.15,0.02,18.5,-2.14041,-47.90917
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,DOM ELISEU,Amazônia,3,1.0,0.02,8.1,-4.48262,-47.87188
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,0,1.25,0.11,16.5,-1.79229,-53.45187
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,JACUNDÁ,Amazônia,2,0.9,0.33,23.3,-4.44363,-49.00703
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,DOM ELISEU,Amazônia,3,0.9,0.05,19.7,-4.38873,-47.86395
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,RONDON DO PARÁ,Amazônia,2,1.46,0.15,12.3,-4.37063,-48.75394
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia,2,0.0,0.16,8.1,-3.26104,-48.46821
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,MOJUÍ DOS CAMPOS,Amazônia,0,4.87,0.0,13.9,-3.29388,-54.74546
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,TAILÂNDIA,Amazônia,2,0.88,0.2,69.8,-3.30892,-48.8639
2023/01/04 17:02:00,AQUA_M-T,Brasil,PARÁ,TOMÉ-AÇU,Amazônia,0,0.0,0.15,10.9,-2.59686,-48.0798
