T2M,RH2M,WS2M,fecha,municipio_norm,uf
25.66,93.8,0.06,2022-04-13,ABAETETUBA,PA
25.64,95.69,0.08,2022-04-14,ABAETETUBA,PA
25.66,95.03,0.07,2022-04-15,ABAETETUBA,PA
25.36,96.95,0.19,2022-04-16,ABAETETUBA,PA
26.13,95.08,0.06,2022-04-17,ABAETETUBA,PA
25.83,93.29,0.11,2022-04-18,ABAETETUBA,PA
25.73,95.77,0.14,2022-04-19,ABAETETUBA,PA
26.5,92.33,0.05,2022-04-20,ABAETETUBA,PA
26.48,91.95,0.09,2022-04-21,ABAETETUBA,PA
25.88,96.34,0.07,2022-04-22,ABAETETUBA,PA
24.99,95.96,0.11,2022-04-23,ABAETETUBA,PA
25.6,90.25,0.06,2022-04-24,ABAETETUBA,PA
26.32,90.48,0.06,2022-04-25,ABAETETUBA,PA
25.41,95.94,0.05,2022-04-26,ABAETETUBA,PA
25.45,92.16,0.12,2022-04-27,ABAETETUBA,PA
26.1,92.98,0.21,2022-04-28,ABAETETUBA,PA
26.09,93.09,0.06,2022-04-29,ABAETETUBA,PA
26.15,91.05,0.11,2022-04-30,ABAETETUBA,PA
25.95,91.68,0.08,2022-05-01,ABAETETUBA,PA
25.96,94.3,0.04,2022-05-02,ABAETETUBA,PA
26.02,93.84,0.14,2022-05-03,ABAETETUBA,PA
25.95,95.24,0.11,2022-05-04,ABAETETUBA,PA
25.98,94.28,0.05,2022-05-05,ABAETETUBA,PA
26.17,92.5,0.06,2022-05-06,ABAETETUBA,PA
25.76,94.22,0.11,2022-05-07,ABAETETUBA,PA
25.66,94.59,0.08,2022-05-08,ABAETETUBA,PA
24.42,97.61,0.12,2022-05-09,ABAETETUBA,PA
24.26,96.56,0.14,2022-05-10,ABAETETUBA,PA
25.53,93.61,0.07,2022-05-11,ABAETETUBA,PA
25.99,93.71,0.1,2022-05-12,ABAETETUBA,PA
26.45,93.59,0.08,2022-05-13,ABAETETUBA,PA
26.34,94.37,0.07,2022-05-14,ABAETETUBA,PA
26.21,94.94,0.08,2022-05-15,ABAETETUBA,PA
26.5,94.25,0.14,2022-05-16,ABAETETUBA,PA
26.98,91.46,0.11,2022-05-17,ABAETETUBA,PA
26.39,95.87,0.11,2022-05-18,ABAETETUBA,PA
23.7,95.81,0.05,2022-05-19,ABAETETUBA,PA
22.44,96.89,0.05,2022-05-20,ABAETETUBA,PA
24.34,92.53,0.08,2022-05-21,ABAETETUBA,PA
25.29,93.1,0.07,2022-05-22,ABAETETUBA,PA
