T2M,RH2M,WS2M,fecha,municipio_norm,uf
26.04,84.84,0.59,2022-06-18,CAREIRO DA VARZEA,AM
26.5,87.44,0.58,2022-06-19,CAREIRO DA VARZEA,AM
26.01,89.7,0.57,2022-06-20,CAREIRO DA VARZEA,AM
25.86,90.38,0.41,2022-06-21,CAREIRO DA VARZEA,AM
26.02,87.02,0.57,2022-06-22,CAREIRO DA VARZEA,AM
25.37,93.52,0.45,2022-06-23,CAREIRO DA VARZEA,AM
25.7,92.62,0.52,2022-06-24,CAREIRO DA VARZEA,AM
26.54,88.09,0.55,2022-06-25,CAREIRO DA VARZEA,AM
26.08,90.7,0.48,2022-06-26,CAREIRO DA VARZEA,AM
25.96,88.02,0.56,2022-06-27,CAREIRO DA VARZEA,AM
26.47,82.43,0.48,2022-06-28,CAREIRO DA VARZEA,AM
26.06,85.14,0.51,2022-06-29,CAREIRO DA VARZEA,AM
26.03,86.05,0.52,2022-06-30,CAREIRO DA VARZEA,AM
26.17,89.19,0.46,2022-07-01,CAREIRO DA VARZEA,AM
26.22,90.84,0.52,2022-07-02,CAREIRO DA VARZEA,AM
26.22,92.02,0.43,2022-07-03,CAREIRO DA VARZEA,AM
26.01,91.53,0.49,2022-07-04,CAREIRO DA VARZEA,AM
25.98,89.85,0.52,2022-07-05,CAREIRO DA VARZEA,AM
26.1,88.6,0.47,2022-07-06,CAREIRO DA VARZEA,AM
26.48,89.04,0.56,2022-07-07,CAREIRO DA VARZEA,AM
26.6,89.34,0.52,2022-07-08,CAREIRO DA VARZEA,AM
26.47,90.32,0.54,2022-07-09,CAREIRO DA VARZEA,AM
26.85,85.53,0.54,2022-07-10,CAREIRO DA VARZEA,AM
27.34,83.14,0.53,2022-07-11,CAREIRO DA VARZEA,AM
26.76,89.72,0.47,2022-07-12,CAREIRO DA VARZEA,AM
26.49,89.4,0.45,2022-07-13,CAREIRO DA VARZEA,AM
26.25,89.37,0.51,2022-07-14,CAREIRO DA VARZEA,AM
26.19,87.36,0.47,2022-07-15,CAREIRO DA VARZEA,AM
26.43,88.38,0.54,2022-07-16,CAREIRO DA VARZEA,AM
26.9,88.54,0.51,2022-07-17,CAREIRO DA VARZEA,AM
27.03,86.97,0.57,2022-07-18,CAREIRO DA VARZEA,AM
26.46,90.53,0.44,2022-07-19,CAREIRO DA VARZEA,AM
26.47,87.31,0.46,2022-07-20,CAREIRO DA VARZEA,AM
27.09,84.31,0.52,2022-07-21,CAREIRO DA VARZEA,AM
26.39,89.53,0.51,2022-07-22,CAREIRO DA VARZEA,AM
26.5,88.51,0.54,2022-07-23,CAREIRO DA VARZEA,AM
27.13,84.12,0.51,2022-07-24,CAREIRO DA VARZEA,AM
27.33,83.66,0.56,2022-07-25,CAREIRO DA VARZEA,AM
27.15,86.17,0.53,2022-07-26,CAREIRO DA VARZEA,AM
27.35,83.19,0.58,2022-07-27,CAREIRO DA VARZEA,AM
27.12,81.96,0.54,2022-07-28,CAREIRO DA VARZEA,AM
27.12,78.61,0.46,2022-07-29,CAREIRO DA VARZEA,AM
25.78,88.17,0.54,2022-07-30,CAREIRO DA VARZEA,AM
25.56,90.56,0.47,2022-07-31,CAREIRO DA VARZEA,AM
26.21,87.56,0.57,2022-08-01,CAREIRO DA VARZEA,AM
26.01,89.85,0.43,2022-08-02,CAREIRO DA VARZEA,AM
26.43,88.92,0.51,2022-08-03,CAREIRO DA VARZEA,AM
26.54,88.87,0.53,2022-08-04,CAREIRO DA VARZEA,AM
26.92,86.48,0.62,2022-08-05,CAREIRO DA VARZEA,AM
27.27,84.07,0.6,2022-08-06,CAREIRO DA VARZEA,AM
27.09,84.53,0.53,2022-08-07,CAREIRO DA VARZEA,AM
27.42,84.76,0.47,2022-08-08,CAREIRO DA VARZEA,AM
28.2,83.85,0.45,2022-08-09,CAREIRO DA VARZEA,AM
28.14,81.84,0.54,2022-08-10,CAREIRO DA VARZEA,AM
28.13,78.64,0.44,2022-08-11,CAREIRO DA VARZEA,AM
27.04,83.16,0.47,2022-08-12,CAREIRO DA VARZEA,AM
27.78,79.45,0.55,2022-08-13,CAREIRO DA VARZEA,AM
27.22,81.36,0.6,2022-08-14,CAREIRO DA VARZEA,AM
27.4,78.57,0.62,2022-08-15,CAREIRO DA VARZEA,AM
28.04,77.66,0.53,2022-08-16,CAREIRO DA VARZEA,AM
28.8,74.96,0.56,2022-08-17,CAREIRO DA VARZEA,AM
29.04,74.73,0.56,2022-08-18,CAREIRO DA VARZEA,AM
28.05,84.59,0.51,2022-08-19,CAREIRO DA VARZEA,AM
26.9,82.71,0.42,2022-08-20,CAREIRO DA VARZEA,AM
26.38,76.55,0.48,2022-08-21,CAREIRO DA VARZEA,AM
26.94,76.12,0.45,2022-08-22,CAREIRO DA VARZEA,AM
27.34,77.17,0.33,2022-08-23,CAREIRO DA VARZEA,AM
27.21,79.59,0.43,2022-08-24,CAREIRO DA VARZEA,AM
27.29,80.01,0.42,2022-08-25,CAREIRO DA VARZEA,AM
27.49,78.61,0.51,2022-08-26,CAREIRO DA VARZEA,AM
27.82,77.04,0.43,2022-08-27,CAREIRO DA VARZEA,AM
28.6,74.06,0.38,2022-08-28,CAREIRO DA VARZEA,AM
28.04,77.26,0.38,2022-08-29,CAREIRO DA VARZEA,AM
29.42,70.0,0.43,2022-08-30,CAREIRO DA VARZEA,AM
29.9,69.74,0.35,2022-08-31,CAREIRO DA VARZEA,AM
29.66,69.29,0.44,2022-09-01,CAREIRO DA VARZEA,AM
28.69,75.66,0.46,2022-09-02,CAREIRO DA VARZEA,AM
28.16,78.57,0.54,2022-09-03,CAREIRO DA VARZEA,AM
29.36,72.21,0.5,2022-09-04,CAREIRO DA VARZEA,AM
29.12,73.72,0.33,2022-09-05,CAREIRO DA VARZEA,AM
28.7,76.48,0.41,2022-09-06,CAREIRO DA VARZEA,AM
29.05,73.83,0.4,2022-09-07,CAREIRO DA VARZEA,AM
28.89,74.18,0.44,2022-09-08,CAREIRO DA VARZEA,AM
28.14,78.22,0.54,2022-09-09,CAREIRO DA VARZEA,AM
29.83,70.77,0.56,2022-09-10,CAREIRO DA VARZEA,AM
30.85,64.19,0.5,2022-09-11,CAREIRO DA VARZEA,AM
30.06,69.92,0.33,2022-09-12,CAREIRO DA VARZEA,AM
28.27,78.11,0.43,2022-09-13,CAREIRO DA VARZEA,AM
29.61,67.99,0.63,2022-09-14,CAREIRO DA VARZEA,AM
30.69,64.65,0.53,2022-09-15,CAREIRO DA VARZEA,AM
29.43,71.81,0.39,2022-09-16,CAREIRO DA VARZEA,AM
28.67,77.45,0.39,2022-09-17,CAREIRO DA VARZEA,AM
28.77,76.04,0.48,2022-09-18,CAREIRO DA VARZEA,AM
29.96,70.83,0.51,2022-09-19,CAREIRO DA VARZEA,AM
31.67,61.34,0.35,2022-09-20,CAREIRO DA VARZEA,AM
31.48,59.41,0.52,2022-09-21,CAREIRO DA VARZEA,AM
31.15,62.22,0.53,2022-09-22,CAREIRO DA VARZEA,AM
31.79,56.46,0.56,2022-09-23,CAREIRO DA VARZEA,AM
32.31,53.98,0.47,2022-09-24,CAREIRO DA VARZEA,AM
30.58,61.58,0.49,2022-09-25,CAREIRO DA VARZEA,AM
30.32,63.96,0.61,2022-09-26,CAREIRO DA VARZEA,AM
30.92,63.94,0.58,2022-09-27,CAREIRO DA VARZEA,AM
32.07,59.97,0.42,2022-09-28,CAREIRO DA VARZEA,AM
32.52,54.46,0.48,2022-09-29,CAREIRO DA VARZEA,AM
30.9,63.62,0.46,2022-09-30,CAREIRO DA VARZEA,AM
29.09,75.9,0.42,2022-10-01,CAREIRO DA VARZEA,AM
27.53,82.12,0.37,2022-10-02,CAREIRO DA VARZEA,AM
26.57,86.23,0.42,2022-10-03,CAREIRO DA VARZEA,AM
28.18,74.4,0.41,2022-10-04,CAREIRO DA VARZEA,AM
29.65,69.86,0.46,2022-10-05,CAREIRO DA VARZEA,AM
31.16,61.83,0.58,2022-10-06,CAREIRO DA VARZEA,AM
31.51,61.24,0.61,2022-10-07,CAREIRO DA VARZEA,AM
31.26,62.18,0.47,2022-10-08,CAREIRO DA VARZEA,AM
31.68,59.47,0.41,2022-10-09,CAREIRO DA VARZEA,AM
28.35,76.7,0.43,2022-10-10,CAREIRO DA VARZEA,AM
29.33,69.19,0.45,2022-10-11,CAREIRO DA VARZEA,AM
29.32,69.09,0.36,2022-10-12,CAREIRO DA VARZEA,AM
28.66,74.18,0.34,2022-10-13,CAREIRO DA VARZEA,AM
28.8,74.25,0.46,2022-10-14,CAREIRO DA VARZEA,AM
28.24,79.05,0.43,2022-10-15,CAREIRO DA VARZEA,AM
28.78,76.51,0.29,2022-10-16,CAREIRO DA VARZEA,AM
26.93,82.64,0.38,2022-10-17,CAREIRO DA VARZEA,AM
28.51,73.98,0.39,2022-10-18,CAREIRO DA VARZEA,AM
28.37,77.91,0.44,2022-10-19,CAREIRO DA VARZEA,AM
28.46,76.79,0.44,2022-10-20,CAREIRO DA VARZEA,AM
29.09,76.2,0.44,2022-10-21,CAREIRO DA VARZEA,AM
30.29,67.32,0.34,2022-10-22,CAREIRO DA VARZEA,AM
29.16,75.3,0.28,2022-10-23,CAREIRO DA VARZEA,AM
29.71,72.52,0.27,2022-10-24,CAREIRO DA VARZEA,AM
28.42,80.22,0.42,2022-10-25,CAREIRO DA VARZEA,AM
28.41,78.6,0.45,2022-10-26,CAREIRO DA VARZEA,AM
28.6,76.96,0.48,2022-10-27,CAREIRO DA VARZEA,AM
28.86,76.83,0.39,2022-10-28,CAREIRO DA VARZEA,AM
29.59,69.94,0.39,2022-10-29,CAREIRO DA VARZEA,AM
30.15,70.57,0.26,2022-10-30,CAREIRO DA VARZEA,AM
29.56,73.03,0.43,2022-10-31,CAREIRO DA VARZEA,AM
27.67,80.01,0.4,2022-11-01,CAREIRO DA VARZEA,AM
27.69,75.37,0.55,2022-11-02,CAREIRO DA VARZEA,AM
28.2,66.32,0.45,2022-11-03,CAREIRO DA VARZEA,AM
28.57,65.11,0.42,2022-11-04,CAREIRO DA VARZEA,AM
29.45,65.06,0.3,2022-11-05,CAREIRO DA VARZEA,AM
29.74,69.11,0.29,2022-11-06,CAREIRO DA VARZEA,AM
27.28,81.88,0.27,2022-11-07,CAREIRO DA VARZEA,AM
29.15,70.05,0.45,2022-11-08,CAREIRO DA VARZEA,AM
28.68,73.82,0.43,2022-11-09,CAREIRO DA VARZEA,AM
29.54,69.98,0.56,2022-11-10,CAREIRO DA VARZEA,AM
30.14,63.88,0.49,2022-11-11,CAREIRO DA VARZEA,AM
30.61,63.62,0.24,2022-11-12,CAREIRO DA VARZEA,AM
29.54,73.36,0.5,2022-11-13,CAREIRO DA VARZEA,AM
28.51,80.41,0.5,2022-11-14,CAREIRO DA VARZEA,AM
27.57,84.63,0.55,2022-11-15,CAREIRO DA VARZEA,AM
28.38,76.91,0.44,2022-11-16,CAREIRO DA VARZEA,AM
29.28,72.45,0.33,2022-11-17,CAREIRO DA VARZEA,AM
28.57,74.83,0.29,2022-11-18,CAREIRO DA VARZEA,AM
29.76,65.7,0.37,2022-11-19,CAREIRO DA VARZEA,AM
30.19,66.92,0.48,2022-11-20,CAREIRO DA VARZEA,AM
30.0,68.05,0.49,2022-11-21,CAREIRO DA VARZEA,AM
29.04,71.85,0.41,2022-11-22,CAREIRO DA VARZEA,AM
27.04,85.42,0.28,2022-11-23,CAREIRO DA VARZEA,AM
27.52,77.82,0.4,2022-11-24,CAREIRO DA VARZEA,AM
27.18,80.12,0.46,2022-11-25,CAREIRO DA VARZEA,AM
25.84,91.82,0.43,2022-11-26,CAREIRO DA VARZEA,AM
27.82,76.88,0.33,2022-11-27,CAREIRO DA VARZEA,AM
28.06,77.17,0.47,2022-11-28,CAREIRO DA VARZEA,AM
26.39,86.02,0.51,2022-11-29,CAREIRO DA VARZEA,AM
27.39,81.01,0.46,2022-11-30,CAREIRO DA VARZEA,AM
26.36,91.09,0.5,2022-12-01,CAREIRO DA VARZEA,AM
25.94,93.48,0.45,2022-12-02,CAREIRO DA VARZEA,AM
26.11,85.04,0.36,2022-12-03,CAREIRO DA VARZEA,AM
26.71,81.47,0.45,2022-12-04,CAREIRO DA VARZEA,AM
25.5,89.97,0.44,2022-12-05,CAREIRO DA VARZEA,AM
26.71,82.87,0.6,2022-12-06,CAREIRO DA VARZEA,AM
26.8,85.35,0.45,2022-12-07,CAREIRO DA VARZEA,AM
28.13,76.74,0.39,2022-12-08,CAREIRO DA VARZEA,AM
27.71,80.92,0.46,2022-12-09,CAREIRO DA VARZEA,AM
28.55,74.45,0.6,2022-12-10,CAREIRO DA VARZEA,AM
28.18,78.0,0.57,2022-12-11,CAREIRO DA VARZEA,AM
28.57,74.72,0.44,2022-12-12,CAREIRO DA VARZEA,AM
27.28,84.73,0.44,2022-12-13,CAREIRO DA VARZEA,AM
26.4,87.73,0.46,2022-12-14,CAREIRO DA VARZEA,AM
28.58,77.54,0.24,2022-12-15,CAREIRO DA VARZEA,AM
27.29,86.37,0.35,2022-12-16,CAREIRO DA VARZEA,AM
26.43,86.07,0.41,2022-12-17,CAREIRO DA VARZEA,AM
26.78,83.71,0.41,2022-12-18,CAREIRO DA VARZEA,AM
26.52,85.3,0.49,2022-12-19,CAREIRO DA VARZEA,AM
26.49,83.09,0.47,2022-12-20,CAREIRO DA VARZEA,AM
26.25,84.64,0.41,2022-12-21,CAREIRO DA VARZEA,AM
26.11,86.45,0.4,2022-12-22,CAREIRO DA VARZEA,AM
26.75,84.8,0.51,2022-12-23,CAREIRO DA VARZEA,AM
27.06,80.4,0.51,2022-12-24,CAREIRO DA VARZEA,AM
28.15,78.51,0.42,2022-12-25,CAREIRO DA VARZEA,AM
27.45,83.35,0.37,2022-12-26,CAREIRO DA VARZEA,AM
26.13,89.37,0.37,2022-12-27,CAREIRO DA VARZEA,AM
25.56,89.33,0.38,2022-12-28,CAREIRO DA VARZEA,AM
25.53,88.64,0.53,2022-12-29,CAREIRO DA VARZEA,AM
26.72,80.98,0.43,2022-12-30,CAREIRO DA VARZEA,AM
26.45,88.3,0.44,2022-12-31,CAREIRO DA VARZEA,AM
26.91,84.99,0.35,2023-01-01,CAREIRO DA VARZEA,AM
25.59,84.84,0.46,2023-01-02,CAREIRO DA VARZEA,AM
25.22,88.22,0.39,2023-01-03,CAREIRO DA VARZEA,AM
26.27,84.21,0.45,2023-01-04,CAREIRO DA VARZEA,AM
26.32,86.82,0.42,2023-01-05,CAREIRO DA VARZEA,AM
25.64,87.48,0.44,2023-01-06,CAREIRO DA VARZEA,AM
26.49,85.55,0.48,2023-01-07,CAREIRO DA VARZEA,AM
26.91,83.54,0.48,2023-01-08,CAREIRO DA VARZEA,AM
25.46,87.99,0.46,2023-01-09,CAREIRO DA VARZEA,AM
25.32,87.06,0.46,2023-01-10,CAREIRO DA VARZEA,AM
25.57,89.82,0.47,2023-01-11,CAREIRO DA VARZEA,AM
26.32,86.64,0.54,2023-01-12,CAREIRO DA VARZEA,AM
25.11,96.71,0.45,2023-01-13,CAREIRO DA VARZEA,AM
24.56,91.78,0.43,2023-01-14,CAREIRO DA VARZEA,AM
25.82,83.87,0.45,2023-01-15,CAREIRO DA VARZEA,AM
26.26,83.44,0.42,2023-01-16,CAREIRO DA VARZEA,AM
25.5,84.32,0.35,2023-01-17,CAREIRO DA VARZEA,AM
23.89,87.93,0.47,2023-01-18,CAREIRO DA VARZEA,AM
25.64,83.24,0.41,2023-01-19,CAREIRO DA VARZEA,AM
25.56,86.81,0.4,2023-01-20,CAREIRO DA VARZEA,AM
26.65,81.01,0.4,2023-01-21,CAREIRO DA VARZEA,AM
25.84,88.47,0.41,2023-01-22,CAREIRO DA VARZEA,AM
26.1,88.1,0.44,2023-01-23,CAREIRO DA VARZEA,AM
26.31,86.8,0.44,2023-01-24,CAREIRO DA VARZEA,AM
26.19,85.63,0.44,2023-01-25,CAREIRO DA VARZEA,AM
25.73,88.94,0.33,2023-01-26,CAREIRO DA VARZEA,AM
25.56,89.13,0.37,2023-01-27,CAREIRO DA VARZEA,AM
25.19,91.71,0.46,2023-01-28,CAREIRO DA VARZEA,AM
25.95,86.14,0.47,2023-01-29,CAREIRO DA VARZEA,AM
25.99,85.81,0.57,2023-01-30,CAREIRO DA VARZEA,AM
25.26,90.51,0.38,2023-01-31,CAREIRO DA VARZEA,AM
25.58,90.73,0.4,2023-02-01,CAREIRO DA VARZEA,AM
26.18,86.27,0.51,2023-02-02,CAREIRO DA VARZEA,AM
26.69,86.03,0.43,2023-02-03,CAREIRO DA VARZEA,AM
25.7,90.12,0.53,2023-02-04,CAREIRO DA VARZEA,AM
25.49,89.5,0.49,2023-02-05,CAREIRO DA VARZEA,AM
26.18,85.53,0.48,2023-02-06,CAREIRO DA VARZEA,AM
25.68,91.83,0.49,2023-02-07,CAREIRO DA VARZEA,AM
25.21,91.13,0.48,2023-02-08,CAREIRO DA VARZEA,AM
26.09,86.99,0.54,2023-02-09,CAREIRO DA VARZEA,AM
26.45,85.31,0.6,2023-02-10,CAREIRO DA VARZEA,AM
26.23,88.46,0.52,2023-02-11,CAREIRO DA VARZEA,AM
26.74,86.9,0.56,2023-02-12,CAREIRO DA VARZEA,AM
27.07,87.42,0.54,2023-02-13,CAREIRO DA VARZEA,AM
26.25,92.2,0.43,2023-02-14,CAREIRO DA VARZEA,AM
26.22,89.72,0.41,2023-02-15,CAREIRO DA VARZEA,AM
25.41,89.69,0.53,2023-02-16,CAREIRO DA VARZEA,AM
25.45,91.74,0.52,2023-02-17,CAREIRO DA VARZEA,AM
25.87,89.19,0.45,2023-02-18,CAREIRO DA VARZEA,AM
25.75,90.45,0.4,2023-02-19,CAREIRO DA VARZEA,AM
24.84,93.43,0.36,2023-02-20,CAREIRO DA VARZEA,AM
24.37,93.26,0.42,2023-02-21,CAREIRO DA VARZEA,AM
25.34,88.59,0.49,2023-02-22,CAREIRO DA VARZEA,AM
25.66,91.58,0.47,2023-02-23,CAREIRO DA VARZEA,AM
25.97,88.83,0.41,2023-02-24,CAREIRO DA VARZEA,AM
25.61,89.22,0.38,2023-02-25,CAREIRO DA VARZEA,AM
26.28,87.69,0.45,2023-02-26,CAREIRO DA VARZEA,AM
25.92,91.16,0.49,2023-02-27,CAREIRO DA VARZEA,AM
26.25,88.13,0.51,2023-02-28,CAREIRO DA VARZEA,AM
26.42,87.54,0.54,2023-03-01,CAREIRO DA VARZEA,AM
26.67,87.47,0.51,2023-03-02,CAREIRO DA VARZEA,AM
26.8,88.7,0.49,2023-03-03,CAREIRO DA VARZEA,AM
26.26,91.79,0.48,2023-03-04,CAREIRO DA VARZEA,AM
26.1,90.03,0.51,2023-03-05,CAREIRO DA VARZEA,AM
26.35,88.59,0.57,2023-03-06,CAREIRO DA VARZEA,AM
25.07,94.18,0.41,2023-03-07,CAREIRO DA VARZEA,AM
25.13,92.71,0.51,2023-03-08,CAREIRO DA VARZEA,AM
25.84,88.56,0.47,2023-03-09,CAREIRO DA VARZEA,AM
26.0,89.69,0.54,2023-03-10,CAREIRO DA VARZEA,AM
26.14,90.5,0.49,2023-03-11,CAREIRO DA VARZEA,AM
25.28,92.64,0.42,2023-03-12,CAREIRO DA VARZEA,AM
26.27,86.06,0.51,2023-03-13,CAREIRO DA VARZEA,AM
25.97,86.2,0.4,2023-03-14,CAREIRO DA VARZEA,AM
25.65,89.76,0.45,2023-03-15,CAREIRO DA VARZEA,AM
25.78,87.01,0.45,2023-03-16,CAREIRO DA VARZEA,AM
25.13,91.6,0.49,2023-03-17,CAREIRO DA VARZEA,AM
25.29,91.89,0.39,2023-03-18,CAREIRO DA VARZEA,AM
25.67,91.92,0.48,2023-03-19,CAREIRO DA VARZEA,AM
25.68,92.43,0.41,2023-03-20,CAREIRO DA VARZEA,AM
26.56,87.96,0.5,2023-03-21,CAREIRO DA VARZEA,AM
26.16,89.76,0.45,2023-03-22,CAREIRO DA VARZEA,AM
26.53,87.8,0.5,2023-03-23,CAREIRO DA VARZEA,AM
26.57,87.22,0.47,2023-03-24,CAREIRO DA VARZEA,AM
25.64,90.86,0.48,2023-03-25,CAREIRO DA VARZEA,AM
26.11,85.63,0.52,2023-03-26,CAREIRO DA VARZEA,AM
26.71,82.78,0.55,2023-03-27,CAREIRO DA VARZEA,AM
26.36,86.39,0.51,2023-03-28,CAREIRO DA VARZEA,AM
26.63,85.0,0.49,2023-03-29,CAREIRO DA VARZEA,AM
25.51,91.94,0.44,2023-03-30,CAREIRO DA VARZEA,AM
26.1,90.21,0.48,2023-03-31,CAREIRO DA VARZEA,AM
26.33,88.98,0.53,2023-04-01,CAREIRO DA VARZEA,AM
25.14,91.65,0.47,2023-04-02,CAREIRO DA VARZEA,AM
25.95,87.33,0.45,2023-04-03,CAREIRO DA VARZEA,AM
26.5,87.11,0.49,2023-04-04,CAREIRO DA VARZEA,AM
26.29,86.58,0.57,2023-04-05,CAREIRO DA VARZEA,AM
25.43,90.6,0.4,2023-04-06,CAREIRO DA VARZEA,AM
25.49,90.76,0.5,2023-04-07,CAREIRO DA VARZEA,AM
25.72,89.85,0.47,2023-04-08,CAREIRO DA VARZEA,AM
26.24,87.33,0.41,2023-04-09,CAREIRO DA VARZEA,AM
25.41,91.37,0.48,2023-04-10,CAREIRO DA VARZEA,AM
26.38,86.0,0.5,2023-04-11,CAREIRO DA VARZEA,AM
27.05,86.2,0.54,2023-04-12,CAREIRO DA VARZEA,AM
26.98,87.55,0.52,2023-04-13,CAREIRO DA VARZEA,AM
26.56,91.64,0.49,2023-04-14,CAREIRO DA VARZEA,AM
26.63,88.55,0.41,2023-04-15,CAREIRO DA VARZEA,AM
26.74,86.48,0.53,2023-04-16,CAREIRO DA VARZEA,AM
26.16,90.35,0.44,2023-04-17,CAREIRO DA VARZEA,AM
26.04,91.87,0.38,2023-04-18,CAREIRO DA VARZEA,AM
26.26,89.54,0.42,2023-04-19,CAREIRO DA VARZEA,AM
26.02,93.91,0.46,2023-04-20,CAREIRO DA VARZEA,AM
26.49,88.65,0.36,2023-04-21,CAREIRO DA VARZEA,AM
25.98,93.02,0.41,2023-04-22,CAREIRO DA VARZEA,AM
25.39,91.26,0.43,2023-04-23,CAREIRO DA VARZEA,AM
26.28,88.23,0.49,2023-04-24,CAREIRO DA VARZEA,AM
26.53,86.27,0.5,2023-04-25,CAREIRO DA VARZEA,AM
26.43,87.93,0.44,2023-04-26,CAREIRO DA VARZEA,AM
26.64,86.96,0.44,2023-04-27,CAREIRO DA VARZEA,AM
26.62,86.58,0.48,2023-04-28,CAREIRO DA VARZEA,AM
26.73,89.75,0.53,2023-04-29,CAREIRO DA VARZEA,AM
26.44,91.42,0.47,2023-04-30,CAREIRO DA VARZEA,AM
26.33,92.34,0.43,2023-05-01,CAREIRO DA VARZEA,AM
25.33,93.55,0.41,2023-05-02,CAREIRO DA VARZEA,AM
25.46,93.39,0.41,2023-05-03,CAREIRO DA VARZEA,AM
26.11,92.08,0.5,2023-05-04,CAREIRO DA VARZEA,AM
26.05,92.87,0.5,2023-05-05,CAREIRO DA VARZEA,AM
26.48,91.99,0.47,2023-05-06,CAREIRO DA VARZEA,AM
26.52,90.11,0.48,2023-05-07,CAREIRO DA VARZEA,AM
26.11,92.11,0.41,2023-05-08,CAREIRO DA VARZEA,AM
26.88,89.48,0.46,2023-05-09,CAREIRO DA VARZEA,AM
26.55,93.57,0.39,2023-05-10,CAREIRO DA VARZEA,AM
25.5,93.68,0.48,2023-05-11,CAREIRO DA VARZEA,AM
26.0,87.04,0.43,2023-05-12,CAREIRO DA VARZEA,AM
26.84,85.45,0.52,2023-05-13,CAREIRO DA VARZEA,AM
27.03,89.45,0.52,2023-05-14,CAREIRO DA VARZEA,AM
26.21,94.96,0.47,2023-05-15,CAREIRO DA VARZEA,AM
26.46,92.2,0.43,2023-05-16,CAREIRO DA VARZEA,AM
25.87,94.3,0.4,2023-05-17,CAREIRO DA VARZEA,AM
26.01,90.56,0.45,2023-05-18,CAREIRO DA VARZEA,AM
26.52,90.06,0.45,2023-05-19,CAREIRO DA VARZEA,AM
26.81,92.73,0.47,2023-05-20,CAREIRO DA VARZEA,AM
26.97,91.86,0.49,2023-05-21,CAREIRO DA VARZEA,AM
27.15,90.66,0.51,2023-05-22,CAREIRO DA VARZEA,AM
26.65,89.11,0.44,2023-05-23,CAREIRO DA VARZEA,AM
27.0,88.7,0.36,2023-05-24,CAREIRO DA VARZEA,AM
26.92,91.82,0.44,2023-05-25,CAREIRO DA VARZEA,AM
26.94,91.79,0.48,2023-05-26,CAREIRO DA VARZEA,AM
27.42,87.7,0.56,2023-05-27,CAREIRO DA VARZEA,AM
26.99,89.72,0.54,2023-05-28,CAREIRO DA VARZEA,AM
26.44,93.21,0.48,2023-05-29,CAREIRO DA VARZEA,AM
26.36,90.79,0.5,2023-05-30,CAREIRO DA VARZEA,AM
26.59,90.59,0.48,2023-05-31,CAREIRO DA VARZEA,AM
26.52,91.02,0.48,2023-06-01,CAREIRO DA VARZEA,AM
26.57,90.87,0.45,2023-06-02,CAREIRO DA VARZEA,AM
26.51,91.23,0.43,2023-06-03,CAREIRO DA VARZEA,AM
26.4,89.81,0.48,2023-06-04,CAREIRO DA VARZEA,AM
27.01,88.19,0.5,2023-06-05,CAREIRO DA VARZEA,AM
27.52,83.09,0.44,2023-06-06,CAREIRO DA VARZEA,AM
27.35,83.12,0.45,2023-06-07,CAREIRO DA VARZEA,AM
26.45,89.8,0.49,2023-06-08,CAREIRO DA VARZEA,AM
27.39,86.15,0.47,2023-06-09,CAREIRO DA VARZEA,AM
26.41,92.68,0.41,2023-06-10,CAREIRO DA VARZEA,AM
26.43,91.37,0.54,2023-06-11,CAREIRO DA VARZEA,AM
26.74,89.84,0.5,2023-06-12,CAREIRO DA VARZEA,AM
26.56,91.04,0.43,2023-06-13,CAREIRO DA VARZEA,AM
26.02,93.16,0.46,2023-06-14,CAREIRO DA VARZEA,AM
25.02,91.13,0.5,2023-06-15,CAREIRO DA VARZEA,AM
25.29,87.26,0.47,2023-06-16,CAREIRO DA VARZEA,AM
25.5,91.23,0.47,2023-06-17,CAREIRO DA VARZEA,AM
25.37,91.94,0.44,2023-06-18,CAREIRO DA VARZEA,AM
26.14,87.25,0.51,2023-06-19,CAREIRO DA VARZEA,AM
26.6,87.23,0.51,2023-06-20,CAREIRO DA VARZEA,AM
26.71,88.98,0.51,2023-06-21,CAREIRO DA VARZEA,AM
26.77,89.62,0.52,2023-06-22,CAREIRO DA VARZEA,AM
26.45,91.87,0.43,2023-06-23,CAREIRO DA VARZEA,AM
26.41,91.92,0.45,2023-06-24,CAREIRO DA VARZEA,AM
26.48,90.96,0.47,2023-06-25,CAREIRO DA VARZEA,AM
26.36,92.39,0.45,2023-06-26,CAREIRO DA VARZEA,AM
26.52,90.63,0.45,2023-06-27,CAREIRO DA VARZEA,AM
26.49,89.06,0.49,2023-06-28,CAREIRO DA VARZEA,AM
26.7,87.55,0.47,2023-06-29,CAREIRO DA VARZEA,AM
26.67,89.36,0.44,2023-06-30,CAREIRO DA VARZEA,AM
26.75,89.9,0.46,2023-07-01,CAREIRO DA VARZEA,AM
26.58,90.38,0.51,2023-07-02,CAREIRO DA VARZEA,AM
26.96,88.01,0.48,2023-07-03,CAREIRO DA VARZEA,AM
27.23,87.85,0.49,2023-07-04,CAREIRO DA VARZEA,AM
27.39,86.3,0.47,2023-07-05,CAREIRO DA VARZEA,AM
27.45,86.4,0.42,2023-07-06,CAREIRO DA VARZEA,AM
27.22,86.02,0.52,2023-07-07,CAREIRO DA VARZEA,AM
27.57,83.73,0.49,2023-07-08,CAREIRO DA VARZEA,AM
27.8,82.08,0.47,2023-07-09,CAREIRO DA VARZEA,AM
27.82,84.15,0.49,2023-07-10,CAREIRO DA VARZEA,AM
