semana,municipio_norm,uf,num_alertas,area_ha_total,score_riesgo_promedio,num_incendios,frp_total,frp_promedio,precipitacion_promedio,dias_sin_lluvia_promedio,riesgo_fuego_promedio,pm10_reanalise,pm2_5_reanalise,o3_reanalise,no2_reanalise,co_reanalise,so2_reanalise,T2M,RH2M,WS2M
2021-12-27,BOCA DO ACRE,AM,1,11.65,4.0,1.0,6.7,6.7,0.4,4.0,0.0,23.165,18.445,16.25,0.08,0.1149999999999999,0.02,26.424999999999997,90.63499999999999,0.02
2021-12-27,CANDEIAS DO JAMARI,RO,2,48.69,4.0,0.0,0.0,0.0,,,,20.62,16.535,16.965,0.195,0.12,0.14,25.365000000000002,95.21000000000001,0.025
2021-12-27,MANOEL URBANO,AC,2,33.45,3.5,0.0,0.0,0.0,,,,23.3,18.15,11.33,0.065,0.1149999999999999,0.01,26.165,91.14,0.0
2021-12-27,PORTO VELHO,RO,5,131.47,4.6,0.0,0.0,0.0,,,,20.71,16.615,17.04,0.175,0.12,0.14,25.535,94.72,0.08
2021-12-27,SENA MADUREIRA,AC,2,38.57,5.5,0.0,0.0,0.0,,,,23.65,18.56,12.78,0.065,0.1149999999999999,0.02,26.3,89.38,0.02
2022-01-03,ACAILANDIA,MA,1,10.05,3.0,0.0,0.0,0.0,,,,17.02285714285714,12.567142857142857,23.124285714285715,0.9071428571428573,0.1214285714285714,0.1728571428571428,24.655714285714286,90.36,0.5700000000000001
2022-01-03,ALTO PARAISO,RO,2,57.84,4.5,0.0,0.0,0.0,,,,24.222857142857144,19.07857142857143,14.308571428571428,0.4685714285714286,0.1285714285714286,0.13,25.400000000000002,93.72714285714287,0.05714285714285715
2022-01-03,APUI,AM,5,124.98,4.6,0.0,0.0,0.0,,,,18.478571428571428,14.342857142857143,13.932857142857143,0.1028571428571428,0.1271428571428571,0.0071428571428571,24.72,93.99428571428572,0.07571428571428572
2022-01-03,ARIPUANA,MT,2,263.18,5.5,0.0,0.0,0.0,,,,17.408571428571427,13.427142857142856,13.411428571428573,0.1657142857142857,0.1328571428571428,0.02,24.934285714285714,92.58,0.045714285714285714
2022-01-03,BOCA DO ACRE,AM,3,29.34,3.333333333333333,0.0,0.0,0.0,,,,28.972857142857144,22.99,15.248571428571427,0.0785714285714285,0.1257142857142857,0.0214285714285714,25.27285714285714,94.2757142857143,0.05142857142857143
2022-01-03,CAMPO NOVO DE RONDONIA,RO,2,22.73,3.5,0.0,0.0,0.0,,,,23.647142857142857,18.65571428571429,14.34,0.2042857142857143,0.1257142857142857,0.0542857142857142,24.865714285714287,93.62571428571428,0.03142857142857143
